University,University_abbreviation,Faculty,Faculty_abbreviation,Department_RG,Department_abbreviation
Delft University of Technology,TUD,"Electrical Engineering, Mathematics and Computer Science",EEMCS,Intelligent Systems,
Delft University of Technology,TUD,"Electrical Engineering, Mathematics and Computer Science",EEMCS,Microelectronics,
Delft University of Technology,TUD,"Electrical Engineering, Mathematics and Computer Science",EEMCS,Quantum & Computer Engineering ,QCE
Delft University of Technology,TUD,"Electrical Engineering, Mathematics and Computer Science",EEMCS,Software Technology,
Delft University of Technology,TUD,Industrial Design Engineering,IDE,"Design, Organisation and Strategy",DOS
Delft University of Technology,TUD,Industrial Design Engineering,IDE,Human-Centered Desgin,HCD
Delft University of Technology,TUD,Industrial Design Engineering,IDE,Sustainable Design Engineering ,SDE
Delft University of Technology,TUD,Aerospace Engineering,AE,Space Engineering,
Delft University of Technology,TUD,Aerospace Engineering,AE,Control & operations,
Delft University of Technology,TUD,Aerospace Engineering,AE,Flow Physics and Technology,
Delft University of Technology,TUD,Aerospace Engineering,AE,Aerospace Structures & Materials,
Delft University of Technology,TUD,"Technology, Policy and Management",TPM,Egineering Systems and Services,
Delft University of Technology,TUD,"Technology, Policy and Management",TPM,Multi-Actor Systems,
Delft University of Technology,TUD,"Technology, Policy and Management",TPM,"Values, Technology and Innovation",
Delft University of Technology,TUD,"Technology, Policy and Management",TPM,Delft Centre for Entrepreneurship,
Delft University of Technology,TUD,Applied Sciences,AS,Bionanoscience,
Delft University of Technology,TUD,Applied Sciences,AS,Chemical Engineering ,
Delft University of Technology,TUD,Applied Sciences,AS,Biotechnology,
Delft University of Technology,TUD,Applied Sciences,AS,Imaging Physics,
Delft University of Technology,TUD,Applied Sciences,AS,Quantum Nanoscience,
Delft University of Technology,TUD,Applied Sciences,AS,Radiation Science & Technology,
Delft University of Technology,TUD,Applied Sciences,AS,Science Education and Communication,
Delft University of Technology,TUD,Mechanical Engineering,ME,BioMechanical Engineering,
Delft University of Technology,TUD,Mechanical Engineering,ME,Cognitive Robotics,
Delft University of Technology,TUD,Mechanical Engineering,ME,Delft Center for Systems and Control,
Delft University of Technology,TUD,Mechanical Engineering,ME,Maritime and Transport Technology,
Delft University of Technology,TUD,Mechanical Engineering,ME,Materials Science and Engineering,
Delft University of Technology,TUD,Mechanical Engineering,ME,Process and Energy,
Delft University of Technology,TUD,Mechanical Engineering,ME,Precision and Microsystems Engineering,PME
Wageningen University & Research,WUR,Agrotechnology & Food Sciences,,Food Safety Research,
Wageningen University & Research,WUR,Agrotechnology & Food Sciences,,Food & Biobased Research,
Wageningen University & Research,WUR,Animal Sciences,,Livestock Research,
Wageningen University & Research,WUR,Animal Sciences,,Bioveterinary Research,
Wageningen University & Research,WUR,Animal Sciences,,Marine Research,
Wageningen University & Research,WUR,Environmental Sciences,,Environmental Research,
Wageningen University & Research,WUR,Plant Sciences,,Plant Research,
Wageningen University & Research,WUR,Social Sciences,,Economic Research,
Wageningen University & Research,WUR,Social Sciences,,Centre for Development Innovation Research,
